episode,step,timestamp,action,state,reward,done,epsilon
0,31,2025-07-16T17:47:21.516648,left,"[150.0, 150.0, 150.0, 192.00000000000009, 179.89925714988863, 3200.000000000002, 0.0, 0.9973868746757507]",-0.1,False,1.0
0,32,2025-07-16T17:47:21.526648,backward,"[150.0, 150.0, 150.0, 204.0000000000001, 179.8408110712636, 3400.000000000002, 0.0, 0.9972253782749175]",-0.1,False,1.0
0,33,2025-07-16T17:47:21.535648,backward,"[150.0, 150.0, 150.0, 192.00000000000009, 179.8408110712636, 3200.000000000002, 0.0, 0.9970893766880035]",-0.1,False,1.0
0,34,2025-07-16T17:47:21.545148,cam_center,"[150.0, 150.0, 150.0, 180.00000000000009, 179.8408110712636, 3000.0000000000014, 0.0, 0.996931877374649]",-0.1,False,1.0
0,35,2025-07-16T17:47:21.554148,cam_left,"[150.0, 150.0, 150.0, 168.00000000000006, 179.8408110712636, 2800.0000000000014, 0.0, 0.9968058698177337]",-0.1,False,1.0
0,36,2025-07-16T17:47:21.563148,cam_right,"[150.0, 150.0, 150.0, 156.00000000000006, 179.8408110712636, 2600.0000000000014, 0.0, 0.9966823756694793]",-0.1,False,1.0
0,37,2025-07-16T17:47:21.572148,forward,"[150.0, 150.0, 150.0, 144.00000000000006, 179.8408110712636, 2400.000000000001, 0.0, 0.9965743720531463]",-0.1,False,1.0
0,38,2025-07-16T17:47:21.580648,left,"[150.0, 150.0, 150.0, 156.00000000000006, 179.8408110712636, 2600.0000000000014, 0.0, 0.9964638769626616]",-0.1,False,1.0
0,39,2025-07-16T17:47:21.589648,right,"[150.0, 150.0, 150.0, 168.00000000000006, 179.7926790065136, 2800.0000000000014, 0.0, 0.9963378760814665]",-0.1,False,1.0
0,40,2025-07-16T17:47:21.598148,cam_left,"[150.0, 150.0, 150.0, 180.00000000000009, 179.7926790065136, 3000.0000000000014, 0.0, 0.9962103745937346]",-0.1,False,1.0
0,41,2025-07-16T17:47:21.607148,cam_center,"[150.0, 150.0, 150.0, 192.00000000000009, 179.84768708051354, 3200.000000000002, 0.0, 0.9960663812160491]",-0.1,False,1.0
0,42,2025-07-16T17:47:21.615148,stop,"[150.0, 150.0, 150.0, 204.0000000000001, 179.9646055483654, 3400.000000000002, 0.0, 0.9959218835830688]",-0.1,False,1.0
0,43,2025-07-16T17:47:21.624148,stop,"[150.0, 150.0, 150.0, 201.0000000000001, 180.02219212583407, 3350.000000000002, 0.0, 0.9957711245417594]",-0.1,False,1.0
0,44,2025-07-16T17:47:21.632648,forward,"[150.0, 150.0, 150.0, 198.0000000000001, 180.02219212583407, 3300.000000000002, 0.0, 0.9956308729052543]",-0.1,False,1.0
0,45,2025-07-16T17:47:21.641148,cam_left,"[150.0, 150.0, 150.0, 210.00000000000014, 180.02219212583407, 3500.000000000002, 0.0, 0.9954821253418922]",-0.1,False,1.0
0,46,2025-07-16T17:47:21.649648,backward,"[150.0, 150.0, 150.0, 222.00000000000014, 180.02219212583407, 3700.0000000000023, 0.0, 0.9953248735070228]",-0.1,False,1.0
0,47,2025-07-16T17:47:21.658148,forward,"[150.0, 150.0, 150.0, 210.00000000000014, 180.02219212583407, 3500.000000000002, 0.0, 0.9951761259436607]",-0.1,False,1.0
0,48,2025-07-16T17:47:21.667148,stop,"[150.0, 150.0, 150.0, 222.00000000000014, 180.02219212583407, 3700.0000000000023, 0.0, 0.9950096247792243]",-0.1,False,1.0
0,49,2025-07-16T17:47:21.675648,cam_right,"[150.0, 150.0, 150.0, 219.00000000000014, 180.02219212583407, 3650.0000000000027, 0.0, 0.9948636223077773]",-0.1,False,1.0
0,50,2025-07-16T17:47:21.687149,stop,"[150.0, 150.0, 150.0, 216.00000000000017, 180.02219212583407, 3600.0000000000027, 0.0, 0.9947016254663466]",-0.1,False,1.0
0,51,2025-07-16T17:47:21.696148,left,"[150.0, 150.0, 150.0, 213.00000000000017, 180.02219212583407, 3550.000000000003, 0.0, 0.9945507529377935]",-0.1,False,1.0
0,52,2025-07-16T17:47:21.704648,forward,"[150.0, 150.0, 150.0, 225.0000000000002, 179.95772953911535, 3750.000000000003, 0.0, 0.9943351256847379]",-0.1,False,1.0
